Original_text_block_one	Original_text_block_two	Original_text_block_three	Special_Command_Original_Text	Translation_block_one	Translation_block_two	Translation_block_three	Special_Command_Translation	READY_FOR_BETA_LEVEL_ONE	Historical_notes_level_two (broader historical context and slightly more detail)	Historical_notes_level_three (dive into specific topics, issues, or events; provide extended reading material or resources)
千人針	NA	NA	NA	Thousand Person Stitches	NA	NA	NA	A senninbari 千人針 is a long white cloth with 1000 red stitches. Each stitch was commonly done by a different woman, usually by wives and mothers, and were given to Japanese men that were going off to war. Senninbari (literally, stiches from a thousand people) were supposed to protect the wearer against injury and misfortune. The practice began with the 1894-95 Sino-Japanese War, but public campaigns to stitch senninbari surged in 1937.	The senninbari originated from The First Sino-Japanese War where the senninbari was not a long piece of cloth but rather a handkerchief. Red thread was used most as it had a meaning of avoiding disasters, but later on other colors of thread were used. Men would commonly wear the senninbari around their waist and stomach area. In Japan, the stomach represents the area where one’s vitality and power resides, so wearing the senninbari around the stomach was especially significant. Many senninbaris were personalized with different images (such as the rising sun and tigers) and patriotic slogans. Some senninbaris also had coins stitched into it as it was believed that coins could provide more protection. Some also had pockets to hold good luck charms which were purchased from shrines and temples. 	Tigers were a popular motif and were stitched on senninbaris because they were believed to have the power to roam far from home and return safely, which is what people were hoping for on behalf of the soldiers. These motifs of tigers came from the phrase “a tiger travels a thousand miles and returns a thousand miles” (虎は千里を行き千里を帰る). Because of this, it was said that the stitches of women born in the year of the tiger would be more effective, especially if they sewed the number corresponding to their age.
出征	皆に「勝って來るぞ」の一節を唄って貰ふ	NA	皆に「勝って來るぞ」の一節を唄って貰ふ	Off to War	Have everyone shout "come back victorious!"	NA	Have everyone shout "come back victorious!"	Wartime media commonly depicted women at train stations enthusiastically sending off Japanese soldiers with food. Their departure for war, known as shussei 出征 on the home front, was supposed to be a reason for celebration rather than sorrow among soldiers and families alike. In public, families and friends of soliders often celebrated death in combat as a demonstration of courage and loyalty to the state.	Japanese schoolchildren were condiitioned to learn new vocabulary related to the empire's preparation for war, including shussei, which translates as "departure to the front" or "going to war." Instilling reverence for the military into youth curricula was part of a broader celebration of the military in Japanese imperial culture. Future soldiers were told that they should not fear death, but rather channel their nationalist zeal for the empire into a heroic death for the emperor. This suguroku is part of that celebration of death in battle: see for example square 17	The rhetoric of self sacrifice for the emperor was part of a modern reimagining of samurai culture, reinterpreted for propaganda purposes. Soldiers' diaries reflect the impact of this ideology. Even if soldiers questioned the ideology, they felt compelled to maintain the appearance selfless devotion to the emperor. 
挙国一致	皆手を三度たゝく	NA	皆手を三度たゝく	National Unity	Everyone clap three times	NA	Everyone clap three times	As Prime Minister of Japan, Konoe Fumimaro directed the expansion of the so-called "China Incident" into a full-scale invasion of China. During his first term as Prime Minister from 1937 to 1939, he refused to recognize the Guomindang as the government of Chinese and began dividing China into Japanese client states instead. Ironically, Konoe was chosen as Prime Minister because of his reputation as a level-headed leader, but in 1937-38 he was more belligerent and impulsive than many Japanese generals. Belated in recognizing the consequences of his recklessness, he began arguing for a surrender to the US in 1944. After surrender, the US Occupation briefly considered Konoe an ally, but then deemed him a war criminal. Facing the prospect of arrest, Konoe committed suicide in December 1945.	Konoe Fumimaro's efforts to reduce tensions with the Western powers involved a combination of diplomatic negotiations and policy changes. In 1938, he proposed a peace initiative known as the "Konoe Plan" which aimed to settle the ongoing conflicts in Asia and improve relations with the Western powers. [##obviously didn't work -- what happened##] The plan involved a series of negotiations with the Western powers, including the United States, in an effort to resolve the growing tensions between Japan and the West. Additionally, Konoe implemented a series of domestic policies aimed at moderating Japan's foreign policy and avoiding conflict with the West. He sought to reduce military spending [##again didn't work!!##] and improve relations with the Soviet Union, where in the latter effort, his government signed the Soviet-Japanese neutrality pact. He also established a cabinet-level organization, the Imperial Rule Assistance Association, to coordinate government policies and promote a more moderate and stable foreign policy.	NA
通州事変	「ふりだし」へ戻る	昭和十二年七月二十九日支那安保隊突如寝返り打って邦人を襲撃	「ふりだし」へ戻る	The Tongzhou Incident	Go back to the beginning	On July 29, 1937, the Chinese Security Forces suddenly turned on the Japanese and attacked Japanese citizens	Go back to the beginning	Chinese and Japanese forces began fighting in the area of Marco Polo Bridge (盧溝橋, Ch. Lugouqiao, J. Rokōkyō) on July 7th. Local military commanders negotiated a shaky ceasefire, but national leaders escalated the conflict. Japanese Prime Minister Konoe demanded an apology from Chiang Kai-shek for "illegal anti-Japanese actions," and Chiang responded that yielding "one more inch of our territory" to Japan would be an "unpardonable crime against our race." In that heated environment, Chinese troops in army of the Hebei Autonomous Government 冀東防共自治政府 (a buffer state created by Japan) rebelled against Japan and killed Japanese troops and civilians. The Japanese press published long, detailed account of those attacks on Japanese civilians, but omitted news of Japanese crimes against Chinese civilians. Such selective reporting made Japan's invasion of China seem not only just but humane. 	The Tongzhou Incident took place on July 29, 1937, during the Second Sino-Japanese War and marked a turning point in the conflict. Chinese troops who were part of the East Hebei Autonomous Government, a puppet government established by Japan, mutinied against their Japanese advisors and collaborators in Tongzhou, a strategically important city near Beijing. The mutiny resulted in the deaths of several hundred Japanese and Chinese collaborators. The incident had significant consequences, as it fueled anti-Japanese sentiment in China and led to a further escalation of hostilities between China and Japan.	The mutiny was sparked by growing resentment and frustration among the Chinese soldiers, who felt they were being mistreated and exploited by their Japanese superiors. The uprising began in the early hours of the morning and quickly escalated, with the mutineers killing several hundred Japanese soldiers, Chinese collaborators, and their families. The violence continued for several days, with Chinese troops eventually regaining control of the city.The Tongzhou Incident had far-reaching consequences for the course of the Second Sino-Japanese War. It fueled anti-Japanese sentiment among the Chinese population, with many seeing the mutiny as a symbol of Chinese resistance against Japanese aggression. The incident also led to a further escalation of hostilities between China and Japan, as the Japanese military sought to retaliate for the loss of life and humiliation suffered during the mutiny. Ultimately, the Tongzhou Incident played a significant role in shaping the dynamics of the conflict between China and Japan during this period.
武運長久戦勝祈願	NA	NA	NA	Pray for Endless Victory	NA	NA	NA	The phrase on the banner, "bu'un chōkyū" 武運長久, means "eternal military victory" and appears as early as the twefth century, when it referred to victory in domestic battles. In the twentieth century, however, "bu'un chōkyū" referred to foreign wars. Many Japanese shrines actively supported the war effort so in 1938 there were thousands of sites where one could pray for "eternal military victory."	NA	NA
北京入城	昭和十二年八月八日皇軍堂々北京に入城	萬歲を三唱してもう一囘賽を振つて進む	萬歲を三唱してもう一囘賽を振つて進む	Entering Beijing	On August 8th, 1937, the Imperial Army majestically entered Beijing.	Chant "Banzai" three times and roll once more to move on.	Chant "Banzai" three times and roll once more to move on.	Japan and China were now careening towards full-scale war. Rather than use his best troops to resist Japan's Kwantung Army in the north, Chang Kai-shek choose to attack Japanese forces in Shanghai, some 750 miles south. Guomindang forces around Beijing fought valiantly for a week, before surrendering to the larger and better equiped Japanese Army. Unlike the subsequent Japanese occupations of Shanghai and Nanjing, the surrender in Beijing was relatively orderly with limited civilain casulaties.  	At 8 am on July 29, the 11th Independent Mixed Brigade of the Kwantung Army attacked Chinese positions near Huangsi and Beiyuan. The Hebei Peace Preservation Corps defending Huangsi withdrew at 6 pm. The 39th Independent Brigade defending Beiyuan was disarmed by the Japanese two days later. Beiping soon fell to the Japanese. General Masakazu Kawabe, commander of the CGA Brigade, entered the city on August 8 in a military parade in which the citizens of Beiping were forced to celebrate.At dawn on July 29, the IJA 5th Division and Japanese marines attacked Tianjin and the port of Tanggu, defended by Chinese units of the 38th Division. The Chinese soldiers and many local volunteers fought gallantly. They even managed to capture the Tianjin Station from the Japanese. The 38th Division mounted a series of counterattacks on the Japanese headquarters at Haiguangsi and the Dongjuzi airport. However, the Japanese were able to repulse the Chinese counterattacks with artillery and air support. After heavy fighting, Tianjin fell to the Japanese on July 30.On July 31, the 27th Independent Brigade managed to break out of Beiping to Chahar and returned to the NRA 143rd Division. That same day, Japanese forces finally conquered the entirety of Beiping-Tianjin by capturing the last Chinese positions near Dahuichang.The Battle of Beiping-Tianjin had ended, but a full-scale war had now erupted between China and Japan.## add something about unresolved issues between Japan and PRC -- has Japan "apologized"	NA
渡洋爆撃	昭和一二年八月十五日、海軍航空隊は長駆して南京渡洋爆撃を敢行引きつづき全支那制空権を確保	長駒して17まで進み	長駒して17まで進み	Overseas Bombing Raids	On August 15, 1937, the Naval Air Forces launched a long-distance bombing raid on Nanjing to secure complete air superiority over China.	Conduct your long-range mission and advance to 17	Conduct your long-range mission and advance to 17	On August 15, 1937, the Japanese Naval Air Service (IJNAF) commenced bomber raids on Nanjing's Jurong Air Base. They faced stiff resistance from the Chinese Air Force, suffering significant losses.	That resistance was in large part due to an air raid warning system established with the help of an American advisor to the Chinese Air Force named Claire Lee Chennault. Claire Lee Chennault was a retired Army Air Corps captain who supported the Kuomintang government in China during the Sino-Japanese War. He served as Chiang Kai-shek's air force advisor, leading the war against Japan. With the aid of the U.S. government he created an American Volunteer Air Corps famously known as the Flying Tigers. When World War II began, he returned to active duty as colonel and served with the U.S. in China.	NA
陸戦隊の奮戦	14まで進む	NA	14まで進む	Hard Fighting by the Special Naval Landing Forces	Advance to tile 14	NA	Advance to 14	The tile shows the Special Naval Landing Forces. They were naval infantry units of the Japanese Navy and were a part of its Land Forces. They saw extensive service in the Second Sino-Japanese War and the Pacific theatre of WWII.	Japanese Special Naval Landing Forces: Before the late 1920s the IJN did not have a separate marine force, instead it used naval landing forces or rikusentai formed from individual ships's crews, who received infantry training as part of their basic training, for special and/or temporary missions. In the late 1920s the navy began to form Special Naval Landing Forces as standing regiments.Infantry Units: - Kure Naval Base - Maizuru Naval Base - Sasebo Naval Base - Yokosuka Naval Base Non-naval base SNLFs: - Shanghai Special Naval Landing Force: Stationed in Shanghai by the Imperial Japanese Navy to protect its interests, it was the first official SNLF unit. They were established in Shanghai following the First Shanghai Incident in 1932. Since then, it has become the only permanent land combat unit in the Imperial Japanese Navy. The unit had an authorized strength of approximately 2000 men and was organized into a brigade made up of several battalions and smaller special weapons units.	NA
陰膳	NA	NA	NA	"Shadow Meals"	NA	NA	NA	"Shadow meals" were served by the relatives of an absent family member or friend as a way of hoping and praying for their safe return. The food is usually the same as the family meal, but it is set aside for the departed and not eaten. Traditionally, "shadow meals" could served for type of travel, even study abroad, but during the war, "shadow meals" were associated with military service. The term is also written "陰膳."	NA	NA
旗艦出雲	第三艦隊司令長官長谷川清中將搭乘	NA	NA	Flagship Izumo	Commander-In-Chief of the Third Fleet, Vice Admiral Kiyoshi Hasegawa boarded Izumo	NA	NA	Kiyoshi Hasegawa (1883-1970) was an admiral in the Japanese Navy and was appointed commander of the Third Fleet on 20 October 1937. The Izumo was the lead ship of her class of armored cruisers, built for the Japanese Navy (JN) in the late 1890s. The ship spent most of the 1920s as a training ship for naval cadets and became flagship of the JN's China forces in 1932, when Japanese and Chinese clashed in Shanghai. Izumo participated in the Battle of Shanghai five years later and was not damaged, despite repeated aerial attacks.	Kiyoshi Hasegawa was an admiral in the Imperial Japanese Navy and the 18th Governor-General of Taiwan during most of the Pacific War, serving from December 1940 to December 1944. In December 1936, Hasegawa was given command of a fleet, and was appointed commander of the Third Fleet on 20 October 1937. The Panay Incident took place during his tenure as fleet commander. As Commander-in-Chief of the Third Fleet in China, Hasegawa met several Chinese admirals and generals, who respected Hasegawa for his civil behavior. He was once again assigned to command the Yokosuka Naval District on 25 April 1938, and was promoted to full admiral on 1 December 1939.Izumo was the lead ship of her class of armored cruisers built for the Imperial Japanese Navy (IJN) in the late 1890s. As Japan lacked the industrial capacity to build such warships itself, the ship was built in Britain. She often served as a flagship and participated in most of the naval battles of the Russo-Japanese War of 1904–1905. Izumo was ordered to protect Japanese citizens and interests in 1913 during the Mexican Revolution and was still there when World War I began in 1914. She was then tasked to search for German commerce raiders and protect Allied shipping off the western coasts of North and Central America. The ship assisted the armored cruiser Asama in early 1915 when she struck a rock off Baja California. In 1917, Izumo became the flagship of the Japanese squadron deployed in the Mediterranean Sea. After the war, she sailed to Great Britain to take control of some ex-German submarines and then escorted them part of the way back to Japan. The ship spent most of the 1920s as a training ship for naval cadets and became flagship of the IJN's China forces in 1932 during the First Shanghai Incident. Izumo participated in the Battle of Shanghai five years later and was not damaged, despite repeated aerial attacks. The ship played a minor role in the Pacific War, supporting Japanese forces during Philippines Campaign until she struck a mine. She returned to Japan in 1943 and again became a training ship for naval cadets. Izumo was sunk by American carrier aircraft during the attack on Kure in July 1945. Her wreck was salvaged and scrapped in 1947.Timeline of Izumo:* September 25, 1900: Completion* August 14, 1904: Participated in the Battle of Ulsan* May 27-28, 1905: Participated in the naval battle of Tsushima Strait* September 1, 1921: Becomes cruiser of the first class* May 30, 1931: Became a coastal defense ship* July 7, 1937: Becomes Flagship of Third Fleet* 14 August 1937: Attacked by Chinese torpedo boats (repulsed with river gunboats)* July 24, 1945: Sunk by Allied U.S. forces on the Seto Inland Sea and Kure	NA
